id,raw_text,clean_text,detected_slang_terms,formal_translation,sentiment,confidence_label,source,platform,unknown_terms,quality_flags,training_ready
48,stop glazing the streamer after one play,stop glazing the streamer after one play,glazing,Stop excessively praising the streamer after one play.,negative,high,manual_annotation,manual,,clean,True
49,thanks pookie for saving my seat,thanks pookie for saving my seat,pookie,"Thanks, my friend, for saving my seat.",positive,high,manual_annotation,manual,saving,clean,True
50,that comment is real after finals,that comment is real after finals,real,That comment is relatable after finals.,positive,high,manual_annotation,manual,,clean,True
51,failing once was a canon event,failing once was a canon event,canon event,Failing once was an unavoidable formative experience.,neutral,high,manual_annotation,manual,failing,clean,True
54,the stream has good vibes tonight,the stream has good vibes tonight,vibes,The stream has a pleasant mood tonight.,neutral,high,manual_annotation,manual,,clean,True
55,sleepy after class is a mood,sleepy after class is a mood,mood,Feeling sleepy after class is relatable.,neutral,high,manual_annotation,manual,,clean,True
56,the poster design is fire,the poster design is fire,fire,The poster design is excellent.,positive,high,manual_annotation,manual,,clean,True
57,the event was lit last night,the event was lit last night,lit,The event was exciting last night.,positive,high,manual_annotation,manual,,clean,True
58,that transition was clean in the video,that transition was clean in the video,clean,That transition was neat and well executed in the video.,positive,high,manual_annotation,manual,,clean,True
59,this scene is peak television,this scene is peak television,peak,This scene is excellent television.,positive,high,manual_annotation,manual,,clean,True
60,that ending was wild to watch,that ending was wild to watch,wild,That ending was surprising to watch.,neutral,high,manual_annotation,manual,ending,clean,True
62,bruh the file vanished again,bruh the file vanished again,bruh,That is frustrating; the file vanished again.,negative,high,manual_annotation,manual,vanished,clean,True
63,thanks fam for checking the report,thanks fam for checking the report,fam,"Thanks, friend, for checking the report.",positive,high,manual_annotation,manual,checking,clean,True
65,she is a presentation queen,she is a presentation queen,queen,She is excellent at giving presentations.,positive,high,manual_annotation,manual,,clean,True
66,he helped everyone like a king,he helped everyone like a king,king,He helped everyone admirably.,positive,high,manual_annotation,manual,helped,clean,True
67,i stan this study plan,i stan this study plan,stan,I strongly support this study plan.,positive,high,manual_annotation,manual,,clean,True
68,fans ship those two characters,fans ship those two characters,ship,Fans support those two characters as a pairing.,positive,high,manual_annotation,manual,,clean,True
69,that photo was a soft launch,that photo was a soft launch,soft launch,That photo was a subtle public hint about the relationship.,neutral,high,manual_annotation,manual,,clean,True
70,the team did a hard launch today,the team did a hard launch today,hard launch,The team made a clear public announcement today.,neutral,high,manual_annotation,manual,,clean,True
71,that quote lives rent free in my head,that quote lives rent free in my head,rent free,That quote constantly occupies my thoughts.,neutral,high,manual_annotation,manual,,clean,True
73,it is giving final boss energy,it is giving final boss energy,it is giving,It strongly resembles final boss energy.,neutral,high,manual_annotation,manual,,clean,True
74,the layout is giving professional,the layout is giving professional,giving,The layout looks professional.,neutral,high,manual_annotation,manual,,clean,True
76,that bug is big yikes for launch,that bug is big yikes for launch,big yikes,That bug is very concerning for launch.,negative,high,manual_annotation,manual,,clean,True
77,yikes that was awkward,yikes that was awkward,yikes,That was awkward.,negative,high,manual_annotation,manual,,clean,True
78,the playlist passed the vibe check,the playlist passed the vibe check,vibe check,The playlist matched the mood well.,neutral,high,manual_annotation,manual,passed,clean,True
79,missing the jump was a skill issue,missing the jump was a skill issue,skill issue,Missing the jump was jokingly blamed on lack of skill.,negative,high,manual_annotation,manual,missing,clean,True
80,that save was clutch at the end,that save was clutch at the end,clutch,That save was successful under pressure at the end.,positive,high,manual_annotation,manual,,clean,True
81,the lobby had one sweat carrying everyone,the lobby had one sweat carrying everyone,sweat,The lobby had one player who was trying very hard and carrying everyone.,negative,high,manual_annotation,manual,carrying,clean,True
82,the match had a tryhard on defense,the match had a tryhard on defense,tryhard,The match had someone making excessive effort on defense.,negative,high,manual_annotation,manual,,clean,True
84,the team got carried by one player,the team got carried by one player,carried,The team was helped substantially by one player.,neutral,high,manual_annotation,manual,,clean,True
85,the update nerfed the strongest weapon,the update nerfed the strongest weapon,nerfed,The update weakened the strongest weapon.,negative,high,manual_annotation,manual,,clean,True
86,the patch buffed the support role,the patch buffed the support role,buffed,The patch strengthened the support role.,positive,high,manual_annotation,manual,,clean,True
89,i had to speedrun my homework,i had to speedrun my homework,speedrun,I had to finish my homework very quickly.,neutral,high,manual_annotation,manual,,clean,True
90,the meetup is irl next week,the meetup is irl next week,irl,The meetup is in real life next week.,neutral,high,manual_annotation,manual,,clean,True
92,staying home was jomo tonight,staying home was jomo tonight,jomo,Staying home brought joy from missing out tonight.,positive,high,manual_annotation,manual,staying,clean,True
94,the prototype was vibe coded quickly,the prototype was vibe coded quickly,vibe coded,The prototype was built quickly in an intuitive experimental style.,neutral,high,manual_annotation,manual,,clean,True
95,she handled the meeting like a girlboss,she handled the meeting like a girlboss,girlboss,She handled the meeting with confidence and ambition.,positive,high,manual_annotation,manual,handled|meeting,clean,True
97,the singer devoured the chorus,the singer devoured the chorus,devoured,The singer performed the chorus extremely well.,positive,high,manual_annotation,manual,,clean,True
99,he was salty after the match,he was salty after the match,salty,He was resentful after the match.,negative,high,manual_annotation,manual,,clean,True
100,the plan is chill for tomorrow,the plan is chill for tomorrow,chill,The plan is acceptable for tomorrow.,positive,high,manual_annotation,manual,,clean,True
101,that excuse is unserious,that excuse is unserious,unserious,That excuse is not responsible.,negative,high,manual_annotation,manual,,clean,True
102,the song is living rent free in my head,the song is living rent free in my head,living rent free,The song is constantly occupying my thoughts.,neutral,high,manual_annotation,manual,,clean,True
104,that is a valid take on the movie,that is a valid take on the movie,valid take,That is a reasonable opinion about the movie.,positive,high,manual_annotation,manual,,clean,True
105,hot take the sequel is better,hot take the sequel is better,hot take,Here is a provocative opinion: the sequel is better.,neutral,high,manual_annotation,manual,,clean,True
106,safe take team a will probably win,safe take team a will probably win,safe take,Here is a cautious opinion: Team A will probably win.,neutral,high,manual_annotation,manual,,clean,True
107,the reply caused a ratio online,the reply caused a ratio online,ratio,The reply received more engagement than the original post online.,negative,high,manual_annotation,manual,caused,clean,True
