raw_text,formal_translation,term,definition,example,platform,source_type,collection_date
thinking we can finish tonight is delulu,Thinking we can finish tonight is unrealistic.,delulu,,thinking we can finish tonight is delulu,manual,human_annotation,2026-05-30
he called the quiet strategy sigma,He described the quiet strategy as independent and unconventional.,sigma,,he called the quiet strategy sigma,manual,human_annotation,2026-05-30
that reply felt npc and generic,That reply felt generic and unoriginal.,npc,,that reply felt npc and generic,manual,human_annotation,2026-05-30
she had main character energy at graduation,She seemed like the most noticeable person at graduation.,main character,,she had main character energy at graduation,manual,human_annotation,2026-05-30
lowkey this assignment is difficult,This assignment is somewhat difficult.,lowkey,,lowkey this assignment is difficult,manual,human_annotation,2026-05-30
highkey proud of the whole team,I am openly proud of the whole team.,highkey,,highkey proud of the whole team,manual,human_annotation,2026-05-30
bet i will send the notes tonight,"Okay, I will send the notes tonight.",bet,,bet i will send the notes tonight,manual,human_annotation,2026-05-30
that take is based and reasonable,That opinion is confident and reasonable.,based,,that take is based and reasonable,manual,human_annotation,2026-05-30
the forced joke was cringe,The forced joke was embarrassing.,cringe,,the forced joke was cringe,manual,human_annotation,2026-05-30
coffee after class hits different,Coffee after class feels especially satisfying.,hits different,,coffee after class hits different,manual,human_annotation,2026-05-30
we are locked in for finals week,We are focused and ready for finals week.,locked in,,we are locked in for finals week,manual,human_annotation,2026-05-30
my feed is pure brainrot after midnight,My feed is full of absurd internet content after midnight.,brainrot,,my feed is pure brainrot after midnight,manual,human_annotation,2026-05-30
the comments became skibidi chaos quickly,The comments quickly became absurd meme chaos.,skibidi,,the comments became skibidi chaos quickly,manual,human_annotation,2026-05-30
gyatt that edit is really sharp,"Wow, that edit is really sharp.",gyatt,,gyatt that edit is really sharp,manual,human_annotation,2026-05-30
he called the last slice fanum tax,He jokingly took the last slice of food.,fanum tax,,he called the last slice fanum tax,manual,human_annotation,2026-05-30
that entrance had serious aura,That entrance showed strong confidence and presence.,aura,,that entrance had serious aura,manual,human_annotation,2026-05-30
he was aura farming in the lobby,He was trying to look impressive in the lobby.,aura farming,,he was aura farming in the lobby,manual,human_annotation,2026-05-30
he can yap about keyboards for hours,He can talk about keyboards for hours.,yap,,he can yap about keyboards for hours,manual,human_annotation,2026-05-30
chat was yapping during the cutscene,The chat was talking too much during the cutscene.,yapping,,chat was yapping during the cutscene,manual,human_annotation,2026-05-30
after that thread you need to touch grass,"After that thread, you need to take a break from the internet.",touch grass,,after that thread you need to touch grass,manual,human_annotation,2026-05-30
wait let him cook before judging,Wait and let him continue before judging.,let him cook,,wait let him cook before judging,manual,human_annotation,2026-05-30
the series fell off after season two,The series declined in quality after season two.,fell off,,the series fell off after season two,manual,human_annotation,2026-05-30
that concern is valid for this project,That concern is reasonable for this project.,valid,,that concern is valid for this project,manual,human_annotation,2026-05-30
this lunch is bussin after practice,This lunch tastes very good after practice.,bussin,,this lunch is bussin after practice,manual,human_annotation,2026-05-30
the jacket has drip with those shoes,The jacket looks stylish with those shoes.,drip,,the jacket has drip with those shoes,manual,human_annotation,2026-05-30
that fit works well for the event,That outfit works well for the event.,fit,,that fit works well for the event,manual,human_annotation,2026-05-30
the rival team is the opp today,The rival team is the opponent today.,opp,,the rival team is the opp today,manual,human_annotation,2026-05-30
stop glazing the streamer after one play,Stop excessively praising the streamer after one play.,glazing,,stop glazing the streamer after one play,manual,human_annotation,2026-05-30
thanks pookie for saving my seat,"Thanks, my friend, for saving my seat.",pookie,,thanks pookie for saving my seat,manual,human_annotation,2026-05-30
that comment is real after finals,That comment is relatable after finals.,real,,that comment is real after finals,manual,human_annotation,2026-05-30
failing once was a canon event,Failing once was an unavoidable formative experience.,canon event,,failing once was a canon event,manual,human_annotation,2026-05-30
buying snacks became a side quest,Buying snacks became an unexpected extra task.,side quest,,buying snacks became a side quest,manual,human_annotation,2026-05-30
that trip became a core memory,That trip became a very memorable experience.,core memory,,that trip became a core memory,manual,human_annotation,2026-05-30
the stream has good vibes tonight,The stream has a pleasant mood tonight.,vibes,,the stream has good vibes tonight,manual,human_annotation,2026-05-30
sleepy after class is a mood,Feeling sleepy after class is relatable.,mood,,sleepy after class is a mood,manual,human_annotation,2026-05-30
the poster design is fire,The poster design is excellent.,fire,,the poster design is fire,manual,human_annotation,2026-05-30
the event was lit last night,The event was exciting last night.,lit,,the event was lit last night,manual,human_annotation,2026-05-30
that transition was clean in the video,That transition was neat and well executed in the video.,clean,,that transition was clean in the video,manual,human_annotation,2026-05-30
this scene is peak television,This scene is excellent television.,peak,,this scene is peak television,manual,human_annotation,2026-05-30
that ending was wild to watch,That ending was surprising to watch.,wild,,that ending was wild to watch,manual,human_annotation,2026-05-30
bro forgot the deadline again,He forgot the deadline again.,bro,,bro forgot the deadline again,manual,human_annotation,2026-05-30
bruh the file vanished again,That is frustrating; the file vanished again.,bruh,,bruh the file vanished again,manual,human_annotation,2026-05-30
thanks fam for checking the report,"Thanks, friend, for checking the report.",fam,,thanks fam for checking the report,manual,human_annotation,2026-05-30
bestie you handled that meeting well,"My friend, you handled that meeting well.",bestie,,bestie you handled that meeting well,manual,human_annotation,2026-05-30
she is a presentation queen,She is excellent at giving presentations.,queen,,she is a presentation queen,manual,human_annotation,2026-05-30
he helped everyone like a king,He helped everyone admirably.,king,,he helped everyone like a king,manual,human_annotation,2026-05-30
i stan this study plan,I strongly support this study plan.,stan,,i stan this study plan,manual,human_annotation,2026-05-30
fans ship those two characters,Fans support those two characters as a pairing.,ship,,fans ship those two characters,manual,human_annotation,2026-05-30
that photo was a soft launch,That photo was a subtle public hint about the relationship.,soft launch,,that photo was a soft launch,manual,human_annotation,2026-05-30
the team did a hard launch today,The team made a clear public announcement today.,hard launch,,the team did a hard launch today,manual,human_annotation,2026-05-30
that quote lives rent free in my head,That quote constantly occupies my thoughts.,rent free,,that quote lives rent free in my head,manual,human_annotation,2026-05-30
the designer understood the assignment,The designer met the expectations very well.,understood the assignment,,the designer understood the assignment,manual,human_annotation,2026-05-30
it is giving final boss energy,It strongly resembles final boss energy.,it is giving,,it is giving final boss energy,manual,human_annotation,2026-05-30
the layout is giving professional,The layout looks professional.,giving,,the layout is giving professional,manual,human_annotation,2026-05-30
say less i will join the call,I understand; I will join the call.,say less,,say less i will join the call,manual,human_annotation,2026-05-30
that bug is big yikes for launch,That bug is very concerning for launch.,big yikes,,that bug is big yikes for launch,manual,human_annotation,2026-05-30
yikes that was awkward,That was awkward.,yikes,,yikes that was awkward,manual,human_annotation,2026-05-30
the playlist passed the vibe check,The playlist matched the mood well.,vibe check,,the playlist passed the vibe check,manual,human_annotation,2026-05-30
missing the jump was a skill issue,Missing the jump was jokingly blamed on lack of skill.,skill issue,,missing the jump was a skill issue,manual,human_annotation,2026-05-30
that save was clutch at the end,That save was successful under pressure at the end.,clutch,,that save was clutch at the end,manual,human_annotation,2026-05-30
the lobby had one sweat carrying everyone,The lobby had one player who was trying very hard and carrying everyone.,sweat,,the lobby had one sweat carrying everyone,manual,human_annotation,2026-05-30
the match had a tryhard on defense,The match had someone making excessive effort on defense.,tryhard,,the match had a tryhard on defense,manual,human_annotation,2026-05-30
she had to carry the project,She had to do most of the work for the project.,carry,,she had to carry the project,manual,human_annotation,2026-05-30
the team got carried by one player,The team was helped substantially by one player.,carried,,the team got carried by one player,manual,human_annotation,2026-05-30
the update nerfed the strongest weapon,The update weakened the strongest weapon.,nerfed,,the update nerfed the strongest weapon,manual,human_annotation,2026-05-30
the patch buffed the support role,The patch strengthened the support role.,buffed,,the patch buffed the support role,manual,human_annotation,2026-05-30
we spawn near the objective,We appear near the objective.,spawn,,we spawn near the objective,manual,human_annotation,2026-05-30
they were camping the corner again,They were staying in the corner to gain an advantage again.,camping,,they were camping the corner again,manual,human_annotation,2026-05-30
i had to speedrun my homework,I had to finish my homework very quickly.,speedrun,,i had to speedrun my homework,manual,human_annotation,2026-05-30
the meetup is irl next week,The meetup is in real life next week.,irl,,the meetup is irl next week,manual,human_annotation,2026-05-30
the concert gave me fomo,The concert made me fear missing out.,fomo,,the concert gave me fomo,manual,human_annotation,2026-05-30
staying home was jomo tonight,Staying home brought joy from missing out tonight.,jomo,,staying home was jomo tonight,manual,human_annotation,2026-05-30
that shortcut is useful iykyk,That shortcut is useful if you understand the context.,iykyk,,that shortcut is useful iykyk,manual,human_annotation,2026-05-30
the prototype was vibe coded quickly,The prototype was built quickly in an intuitive experimental style.,vibe coded,,the prototype was vibe coded quickly,manual,human_annotation,2026-05-30
she handled the meeting like a girlboss,She handled the meeting with confidence and ambition.,girlboss,,she handled the meeting like a girlboss,manual,human_annotation,2026-05-30
submitting early was a boss move,Submitting early was an impressive action.,boss move,,submitting early was a boss move,manual,human_annotation,2026-05-30
the singer devoured the chorus,The singer performed the chorus extremely well.,devoured,,the singer devoured the chorus,manual,human_annotation,2026-05-30
he got pressed about the feedback,He became annoyed about the feedback.,pressed,,he got pressed about the feedback,manual,human_annotation,2026-05-30
he was salty after the match,He was resentful after the match.,salty,,he was salty after the match,manual,human_annotation,2026-05-30
the plan is chill for tomorrow,The plan is acceptable for tomorrow.,chill,,the plan is chill for tomorrow,manual,human_annotation,2026-05-30
that excuse is unserious,That excuse is not responsible.,unserious,,that excuse is unserious,manual,human_annotation,2026-05-30
the song is living rent free in my head,The song is constantly occupying my thoughts.,living rent free,,the song is living rent free in my head,manual,human_annotation,2026-05-30
your analysis is on point,Your analysis is accurate and well executed.,on point,,your analysis is on point,manual,human_annotation,2026-05-30
that is a valid take on the movie,That is a reasonable opinion about the movie.,valid take,,that is a valid take on the movie,manual,human_annotation,2026-05-30
hot take the sequel is better,Here is a provocative opinion: the sequel is better.,hot take,,hot take the sequel is better,manual,human_annotation,2026-05-30
safe take team a will probably win,Here is a cautious opinion: Team A will probably win.,safe take,,safe take team a will probably win,manual,human_annotation,2026-05-30
the reply caused a ratio online,The reply received more engagement than the original post online.,ratio,,the reply caused a ratio online,manual,human_annotation,2026-05-30
