term,definition,example,thumbs_up,thumbs_down,source,collection_date
vibes,"general mood, feelings, or atmosphere",the stream has good vibes,0,0,curated_local_fallback,2026-05-04
mood,relatable feeling or current emotional state,sleepy after class is a mood,0,0,curated_local_fallback,2026-05-04
fire,"excellent, exciting, or stylish",the poster design is fire,0,0,curated_local_fallback,2026-05-04
lit,"exciting, fun, or excellent",the event was lit,0,0,curated_local_fallback,2026-05-04
clean,"neat, impressive, or well executed",that transition was clean,0,0,curated_local_fallback,2026-05-04
peak,excellent or at the highest quality,this scene is peak,0,0,curated_local_fallback,2026-05-04
wild,"surprising, intense, or unusual",that ending was wild,0,0,curated_local_fallback,2026-05-04
bro,a casual reference to a person,bro forgot the deadline,0,0,curated_local_fallback,2026-05-04
bruh,expression of disbelief or mild frustration,bruh the file vanished,0,0,curated_local_fallback,2026-05-04
fam,friend or familiar group member,thanks fam,0,0,curated_local_fallback,2026-05-04
bestie,close friend or friendly address,bestie you handled that well,0,0,curated_local_fallback,2026-05-04
queen,admired woman or person being praised,she is a presentation queen,0,0,curated_local_fallback,2026-05-04
king,admired man or person being praised,he helped everyone like a king,0,0,curated_local_fallback,2026-05-04
stan,strongly support or admire,I stan this study plan,0,0,curated_local_fallback,2026-05-04
ship,support a relationship or pairing,fans ship those characters,0,0,curated_local_fallback,2026-05-04
soft launch,subtle public hint about a relationship or project,that post was a soft launch,0,0,curated_local_fallback,2026-05-04
hard launch,clear public announcement of a relationship or project,the team did a hard launch,0,0,curated_local_fallback,2026-05-04
rent free,constantly occupying someone's thoughts,that quote lives rent free,0,0,curated_local_fallback,2026-05-04
understood the assignment,met expectations very well,the designer understood the assignment,0,0,curated_local_fallback,2026-05-04
it is giving,it strongly suggests or resembles,it is giving final boss energy,0,0,curated_local_fallback,2026-05-04
giving,suggesting or resembling a certain quality,the layout is giving professional,0,0,curated_local_fallback,2026-05-04
say less,I understand and agree,"say less, I will join",0,0,curated_local_fallback,2026-05-04
big yikes,"very embarrassing, concerning, or uncomfortable",that bug is big yikes,0,0,curated_local_fallback,2026-05-04
yikes,"embarrassing, concerning, or uncomfortable",yikes that was awkward,0,0,curated_local_fallback,2026-05-04
vibe check,informal assessment of mood or suitability,the playlist passed the vibe check,0,0,curated_local_fallback,2026-05-04
skill issue,failure attributed jokingly to lack of skill,missing the jump was a skill issue,0,0,curated_local_fallback,2026-05-04
clutch,successful under pressure,that save was clutch,0,0,curated_local_fallback,2026-05-04
sweat,"someone trying very hard, especially in games",the lobby had one sweat,0,0,curated_local_fallback,2026-05-04
tryhard,someone making excessive effort to win or impress,the match had a tryhard,0,0,curated_local_fallback,2026-05-04
carry,do most of the work for a group,she carried the project,0,0,curated_local_fallback,2026-05-04
carried,was helped substantially by someone else,the team got carried,0,0,curated_local_fallback,2026-05-04
nerfed,weakened or reduced in effectiveness,the feature got nerfed,0,0,curated_local_fallback,2026-05-04
buffed,strengthened or improved,the update buffed the tool,0,0,curated_local_fallback,2026-05-04
spawn,"appear or begin in a location, often in games",we spawn near the objective,0,0,curated_local_fallback,2026-05-04
camping,staying in one spot to gain an advantage,they were camping the corner,0,0,curated_local_fallback,2026-05-04
speedrun,complete something very quickly,I had to speedrun homework,0,0,curated_local_fallback,2026-05-04
irl,in real life,the meetup is irl,0,0,curated_local_fallback,2026-05-04
fomo,fear of missing out,the event gave me fomo,0,0,curated_local_fallback,2026-05-04
jomo,joy of missing out,staying home was jomo,0,0,curated_local_fallback,2026-05-04
iykyk,"if you know, you know",that shortcut is useful iykyk,0,0,curated_local_fallback,2026-05-04
vibe coded,built intuitively with an informal experimental style,the prototype was vibe coded,0,0,curated_local_fallback,2026-05-04
girlboss,"confident and ambitious person, often humorously framed",she handled the meeting like a girlboss,0,0,curated_local_fallback,2026-05-04
boss move,confident or impressive action,submitting early was a boss move,0,0,curated_local_fallback,2026-05-04
devoured,performed extremely well,the singer devoured the chorus,0,0,curated_local_fallback,2026-05-04
pressed,"upset, annoyed, or bothered",he got pressed about feedback,0,0,curated_local_fallback,2026-05-04
salty,resentful or irritated,the player sounded salty,0,0,curated_local_fallback,2026-05-04
chill,"calm, relaxed, or acceptable",the plan is chill,0,0,curated_local_fallback,2026-05-04
unserious,not acting responsibly or taking something lightly,that excuse is unserious,0,0,curated_local_fallback,2026-05-04
living rent free,constantly occupying someone's thoughts,the song is living rent free,0,0,curated_local_fallback,2026-05-04
on point,"accurate, stylish, or well executed",your analysis is on point,0,0,curated_local_fallback,2026-05-04
valid take,a reasonable opinion,that is a valid take,0,0,curated_local_fallback,2026-05-04
hot take,a provocative or unpopular opinion,"hot take, the sequel is better",0,0,curated_local_fallback,2026-05-04
safe take,a cautious or widely accepted opinion,that is a safe take,0,0,curated_local_fallback,2026-05-04
ratio,a response receiving more engagement than the original post,the reply caused a ratio,0,0,curated_local_fallback,2026-05-04
