text,platform,source_type,collection_date
coffee after lab is a w fr during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
the assignment deadline has me cooked in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
this playlist slaps while studying before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
the campus wifi is sus today while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
valid take but the example was confusing after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
the poster design is clean no cap during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
my sleep schedule fell off this week on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
locked in for finals rn after class,twitter_x,synthetic_coursework_fallback,2026-05-19
the library vibe is calm today during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
that explanation was based imo in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
bruh the printer is tweaking again before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
the cafeteria noodles are bussin while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
this timetable is giving side quest energy after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
group chat is yapping about fonts during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
"the demo worked first try, big w on the bus",twitter_x,synthetic_coursework_fallback,2026-05-19
that bug is big yikes after class,twitter_x,synthetic_coursework_fallback,2026-05-19
her analysis is on point during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
this article lives rent free in my head in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
the tutorial speedrun was wild before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
that outfit had drip while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
the intro slide understood the assignment after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
my code got nerfed by one typo during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
the new rubric is actually chill on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
that hot take about exams is valid after class,twitter_x,synthetic_coursework_fallback,2026-05-19
the edit was fire but the audio was mid during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
main character energy walking into class early in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
the meeting became a side quest before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
lowkey the lecture notes hit different rn while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
that group presentation ate ngl after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
idk why the new update feels mid during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
coffee after lab is a w fr on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
the assignment deadline has me cooked after class,twitter_x,synthetic_coursework_fallback,2026-05-19
this playlist slaps while studying during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
the campus wifi is sus today in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
valid take but the example was confusing before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
the poster design is clean no cap while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
my sleep schedule fell off this week after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
locked in for finals rn during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
the library vibe is calm today on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
that explanation was based imo after class,twitter_x,synthetic_coursework_fallback,2026-05-19
bruh the printer is tweaking again during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
the cafeteria noodles are bussin in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
this timetable is giving side quest energy before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
group chat is yapping about fonts while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
"the demo worked first try, big w after the patch",twitter_x,synthetic_coursework_fallback,2026-05-19
that bug is big yikes during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
her analysis is on point on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
this article lives rent free in my head after class,twitter_x,synthetic_coursework_fallback,2026-05-19
the tutorial speedrun was wild during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
that outfit had drip in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
the intro slide understood the assignment before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
my code got nerfed by one typo while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
the new rubric is actually chill after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
that hot take about exams is valid during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
the edit was fire but the audio was mid on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
main character energy walking into class early after class,twitter_x,synthetic_coursework_fallback,2026-05-19
the meeting became a side quest during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
lowkey the lecture notes hit different rn in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
that group presentation ate ngl before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
idk why the new update feels mid while testing,twitter_x,synthetic_coursework_fallback,2026-05-19
coffee after lab is a w fr after the patch,twitter_x,synthetic_coursework_fallback,2026-05-19
the assignment deadline has me cooked during practice,twitter_x,synthetic_coursework_fallback,2026-05-19
this playlist slaps while studying on the bus,twitter_x,synthetic_coursework_fallback,2026-05-19
the campus wifi is sus today after class,twitter_x,synthetic_coursework_fallback,2026-05-19
valid take but the example was confusing during revision,twitter_x,synthetic_coursework_fallback,2026-05-19
the poster design is clean no cap in the group chat,twitter_x,synthetic_coursework_fallback,2026-05-19
my sleep schedule fell off this week before the deadline,twitter_x,synthetic_coursework_fallback,2026-05-19
