text,platform,source_type,collection_date
skibidi comments took over during revision,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed during revision,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive during revision,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run during revision,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left during revision,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult during revision,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult in the group chat,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult before the deadline,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr while testing,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support while testing,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump while testing,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan while testing,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated while testing,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps while testing,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment while testing,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully while testing,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap while testing,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play while testing,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match while testing,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean while testing,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn while testing,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss while testing,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl while testing,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer while testing,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard while testing,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe while testing,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild while testing,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake while testing,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats while testing,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated while testing,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real while testing,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat while testing,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over while testing,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed while testing,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive while testing,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run while testing,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left while testing,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult while testing,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr after the patch,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support after the patch,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump after the patch,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan after the patch,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated after the patch,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps after the patch,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment after the patch,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully after the patch,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap after the patch,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play after the patch,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match after the patch,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean after the patch,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn after the patch,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss after the patch,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl after the patch,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer after the patch,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard after the patch,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe after the patch,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild after the patch,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake after the patch,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats after the patch,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated after the patch,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real after the patch,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat after the patch,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over after the patch,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed after the patch,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive after the patch,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run after the patch,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left after the patch,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult after the patch,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr during practice,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support during practice,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump during practice,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan during practice,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated during practice,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps during practice,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment during practice,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully during practice,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap during practice,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play during practice,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match during practice,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean during practice,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn during practice,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss during practice,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl during practice,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer during practice,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard during practice,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe during practice,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild during practice,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake during practice,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats during practice,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated during practice,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real during practice,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat during practice,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over during practice,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed during practice,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive during practice,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run during practice,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left during practice,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult during practice,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr on the bus,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support on the bus,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump on the bus,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan on the bus,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated on the bus,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps on the bus,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment on the bus,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully on the bus,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap on the bus,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play on the bus,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match on the bus,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean on the bus,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn on the bus,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss on the bus,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl on the bus,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer on the bus,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard on the bus,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe on the bus,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild on the bus,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake on the bus,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats on the bus,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated on the bus,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real on the bus,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat on the bus,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over on the bus,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed on the bus,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive on the bus,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run on the bus,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left on the bus,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult on the bus,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr before lab,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support before lab,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump before lab,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan before lab,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated before lab,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps before lab,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment before lab,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully before lab,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap before lab,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play before lab,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match before lab,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean before lab,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn before lab,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss before lab,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl before lab,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer before lab,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard before lab,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe before lab,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild before lab,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake before lab,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats before lab,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated before lab,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real before lab,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat before lab,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over before lab,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed before lab,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive before lab,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run before lab,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left before lab,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult before lab,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr after lunch,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support after lunch,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump after lunch,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan after lunch,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated after lunch,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps after lunch,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment after lunch,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully after lunch,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap after lunch,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play after lunch,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match after lunch,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean after lunch,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn after lunch,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss after lunch,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl after lunch,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer after lunch,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard after lunch,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe after lunch,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild after lunch,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake after lunch,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats after lunch,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated after lunch,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real after lunch,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat after lunch,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over after lunch,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed after lunch,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive after lunch,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run after lunch,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left after lunch,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult after lunch,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr during finals,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support during finals,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump during finals,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan during finals,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated during finals,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps during finals,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment during finals,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully during finals,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap during finals,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play during finals,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match during finals,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean during finals,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn during finals,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss during finals,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl during finals,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer during finals,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard during finals,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe during finals,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild during finals,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake during finals,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats during finals,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated during finals,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real during finals,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat during finals,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over during finals,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed during finals,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive during finals,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run during finals,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left during finals,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult during finals,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr while debugging,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support while debugging,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump while debugging,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan while debugging,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated while debugging,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps while debugging,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment while debugging,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully while debugging,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap while debugging,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play while debugging,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match while debugging,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean while debugging,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn while debugging,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss while debugging,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl while debugging,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer while debugging,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard while debugging,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe while debugging,twitch,synthetic_coursework_fallback,2026-05-19
speedrun strats are wild while debugging,twitch,synthetic_coursework_fallback,2026-05-19
valid reset after that mistake while debugging,twitch,synthetic_coursework_fallback,2026-05-19
this lobby is full of sweats while debugging,twitch,synthetic_coursework_fallback,2026-05-19
tryhard mode activated while debugging,twitch,synthetic_coursework_fallback,2026-05-19
the carry was real while debugging,twitch,synthetic_coursework_fallback,2026-05-19
that fanum tax joke sent chat while debugging,twitch,synthetic_coursework_fallback,2026-05-19
skibidi comments took over while debugging,twitch,synthetic_coursework_fallback,2026-05-19
the vibe check passed while debugging,twitch,synthetic_coursework_fallback,2026-05-19
pookie with the clutch revive while debugging,twitch,synthetic_coursework_fallback,2026-05-19
that was a canon event for the run while debugging,twitch,synthetic_coursework_fallback,2026-05-19
sus door on the left while debugging,twitch,synthetic_coursework_fallback,2026-05-19
boss move saving the ult while debugging,twitch,synthetic_coursework_fallback,2026-05-19
chat this run is cooked fr in the replay,twitch,synthetic_coursework_fallback,2026-05-19
w save by the support in the replay,twitch,synthetic_coursework_fallback,2026-05-19
l timing on that jump in the replay,twitch,synthetic_coursework_fallback,2026-05-19
let him cook he has a plan in the replay,twitch,synthetic_coursework_fallback,2026-05-19
that combo was goated in the replay,twitch,synthetic_coursework_fallback,2026-05-19
the boss music slaps in the replay,twitch,synthetic_coursework_fallback,2026-05-19
npc pathing moment in the replay,twitch,synthetic_coursework_fallback,2026-05-19
skill issue but respectfully in the replay,twitch,synthetic_coursework_fallback,2026-05-19
clutch heal no cap in the replay,twitch,synthetic_coursework_fallback,2026-05-19
stop yapping and watch the play in the replay,twitch,synthetic_coursework_fallback,2026-05-19
aura farming before the match in the replay,twitch,synthetic_coursework_fallback,2026-05-19
that dodge was clean in the replay,twitch,synthetic_coursework_fallback,2026-05-19
bro is locked in rn in the replay,twitch,synthetic_coursework_fallback,2026-05-19
chat is tweaking over one miss in the replay,twitch,synthetic_coursework_fallback,2026-05-19
peak gameplay ngl in the replay,twitch,synthetic_coursework_fallback,2026-05-19
the patch buffed the healer in the replay,twitch,synthetic_coursework_fallback,2026-05-19
that map got nerfed hard in the replay,twitch,synthetic_coursework_fallback,2026-05-19
camping the corner is cringe in the replay,twitch,synthetic_coursework_fallback,2026-05-19
